"Afghanistan";"Angola";"Albanie";"Andorre";"Le.monde.arabe";"Émirats.arabes.unis";"Argentine";"Arménie";"Antigua.et.Barbuda";"Australie";"Autriche";"Azerbaïdjan";"Burundi";"Belgique";"Bénin";"Burkina.Faso";"Bangladesh";"Bulgarie";"Bahreïn";"Bahamas";"Bosnie.Herzégovine";"Bélarus";"Belize";"Bolivie";"Brésil";"Barbade";"Brunéi.Darussalam";"Bhoutan";"Botswana";"République.centrafricaine";"Canada";"Europe.centrale.et.les.pays.baltes";"Suisse";"Chili";"Chine";"Côte.d.Ivoire";"Cameroun";"Congo";"Congo.1";"Colombie";"Comores";"Cabo.Verde";"Costa.Rica";"Petits.états.des.Caraïbes";"Cuba";"Chypre";"République.tchèque";"Allemagne";"Djibouti";"Dominique";"Danemark";"République.dominicaine";"Algérie";"Asie.de.l.Est.et.Pacifique..hors.revenu.élevé.";"de.dividende.précoce.démographique";"Asie.de.l.Est.et.Pacifique";"Europe.et.Asie.centrale..hors.revenu.élevé.";"Europe.et.Asie.centrale";"Équateur";"Égypte";"Zone.euro";"Érythrée";"Espagne";"Estonie";"Éthiopie";"Union.européenne";"Fragile.et.les.situations.de.conflit.touchées";"Finlande";"Fidji";"France";"Micronésie";"Gabon";"Royaume.Uni";"Géorgie";"Ghana";"Guinée";"Gambie";"Guinée.Bissau";"Guinée.équatoriale";"Grèce";"Grenade";"Guatemala";"Guyana";"Revenu.élevé";"Honduras";"Pays.pauvres.très.endettés..PPTE.";"Croatie";"Haïti";"Hongrie";"BIRD.seulement";"BIRD.et.IDA";"IDA.totale";"IDA.mélange";"Indonésie";"IDA.seulement";"Inde";"Irlande";"Iran";"Iraq";"Islande";"Israël";"Italie";"Jamaïque";"Jordanie";"Japon";"Kazakhstan";"Kenya";"République.kirghize";"Cambodge";"Kiribati";"Saint.Kitts.et.Nevis";"Corée";"Koweït";"Amérique.latine.et.Caraïbes..hors.revenu.élevé.";"République.démocratique.populaire.lao";"Liban";"Libéria";"Libye";"Sainte.Lucie";"Amérique.latine.et.Caraïbes";"Pays.les.moins.avancés..classement.de.l.ONU";"Faible.revenu";"Liechtenstein";"Sri.Lanka";"Revenu.intermédiaire";"Revenu.faible.et.intermédiaire";"Lesotho";"de.dividende.tardif.démographique";"Lituanie";"Luxembourg";"Lettonie";"Maroc";"Moldova";"Madagascar";"Maldives";"Afrique.du.Nord.et.Moyen.Orient";"Mexique";"Îles.Marshall";"Revenu.intermédiaire.1";"Macédoine.du.Nord";"Mali";"Malte";"Myanmar";"Afrique.du.Nord.et.Moyen.Orient..hors.revenu.élevé.";"Monténégro";"Mongolie";"Mozambique";"Mauritanie";"Maurice";"Malawi";"Malaisie";"Amérique.du.Nord";"Namibie";"Niger";"Nigéria";"Nicaragua";"Pays.Bas";"Norvège";"Népal";"Nauru";"Nouvelle.Zélande";"Pays.membres.de.l.OCDE";"Oman";"Autres.petits.états";"Pakistan";"Panama";"Pérou";"Philippines";"Palaos";"Papouasie.Nouvelle.Guinée";"Pologne";"de.Pré.dividende.démographique";"Corée.1";"Portugal";"Paraguay";"Petits.états.insulaires.du.Pacifique";"de.Post.dividende.démographique";"Qatar";"Roumanie";"Fédération.de.Russie";"Rwanda";"Asie.du.Sud";"Arabie.saoudite";"Soudan";"Sénégal";"Singapour";"Îles.Salomon";"Sierra.Leone";"El.Salvador";"Somalie";"Serbie";"Afrique.subsaharienne..hors.revenu.élevé.";"Soudan.du.Sud";"Afrique.subsaharienne";"Petits.états";"Sao.Tomé.et.Principe";"Suriname";"République.slovaque";"Slovénie";"Suède";"Eswatini";"Seychelles";"République.arabe.syrienne";"Tchad";"Asie.de.l.Est.et.Pacifique..BIRD.et.IDA.";"Europe.et.Asie.centrale..BIRD.et.IDA.";"Togo";"Thaïlande";"Tadjikistan";"Turkménistan";"Amérique.latine.et.Caraïbes..BIRD.et.IDA.";"Timor.Leste";"Afrique.du.Nord.et.Moyen.Orient..BIRD.et.IDA.";"Tonga";"Asie.du.Sud..BIRD.et.IDA.";"Afrique.subsaharienne..BIRD.et.IDA.";"Trinité.et.Tobago";"Tunisie";"Turquie";"Tuvalu";"Tanzanie";"Ouganda";"Ukraine";"Revenu.intermédiaire.2";"Uruguay";"États.Unis";"Ouzbékistan";"Saint.Vincent.et.les.Grenadines";"Venezuela";"Viet.Nam";"Vanuatu";"Monde";"Samoa";"Yémen";"Afrique.du.Sud";"Zambie";"Zimbabwe"
0,0562;1,0913;0,5722;7,517;3,2427;28,5677;3,6616;1,0708;4,4094;17,6605;8,1073;3,3477;0,0365;11,7034;0,1838;0,0679;0,1548;6,1138;23,034;7,4826;2,6148;5,6851;2,0008;1,0462;1,699;4,8171;14,1183;0,359;2,2226;0,0647;16,0765;6,95;6,2236;3,4681;2,6058;0,3146;0,3521;0,0506;1,1374;1,6983;0,1744;0,3635;1,3136;4,4738;2,457;7,2267;11,5519;10,5458;0,5612;1,5956;11,2571;2,0067;2,4946;2,2282;1,5017;3,0402;6,8017;7,547;2,0058;1,5831;8,2352;0,2626;6,3699;11,7159;0,0512;7,9697;0,8807;11,1128;0,8969;6,3315;1,0798;5,2817;8,9934;1,1759;0,3259;0,1702;0,177;0,1436;3,1283;8,1274;2,0716;0,7505;2,3127;11,723;0,7419;0,1695;4,0886;0,1625;5,5861;2,4992;2,0719;0,4711;0,9376;1,2639;0,2324;0,8187;10,3483;4,6799;3,9812;7,8454;8,625;7,4924;3,7725;3,0179;8,9423;9,013;0,2457;1,2665;0,1611;0,3496;4,0696;9,393;23,1542;2,207;0,162;3,8911;0,1857;8,412;2,4864;2,4296;0,1598;0,3838;7,1451;0,4638;1,0761;1,9916;0,1964;3,2855;4,1444;17,8243;3,3734;1,1021;2,947;0,1069;1,1322;3,9882;3,853;1,881;2,1276;4,9016;NA;6,1513;0,1777;2,7702;2,8963;3,5549;0,0733;0,4862;1,5425;0,0699;4,8458;19,8561;1,1636;0,0617;0,7601;0,7076;10,6149;8,5502;0,0979;9,6367;7,1245;10,573;8,5624;4,5947;0,62;1,9825;1,0446;0,9963;10,609;0,5157;8,2354;0,4844;2,9579;5,4723;0,8673;0,9311;11,8203;45,6113;4,4226;10,0763;0,0644;0,7083;11,425;0,1906;0,3887;9,4342;0,539;0,0562;0,9635;0,0645;7,4276;0,7784;0,0684;0,7787;4,3202;0,3577;4,6129;7,6802;7,8218;6,5936;0,6168;3,6781;2,8793;0,061;2,2228;6,7774;0,2538;2,5393;0,4499;7,1849;2,4085;NA;2,7685;0,8881;0,7083;0,7787;7,5005;1,9283;3,1119;1,038;0,0824;0,0559;6,168;3,2986;1,7715;20,2663;4,8339;1,6643;5,5012;0,5895;0,4369;3,7817;0,8316;0,6804;6,4662;0,2315;1,2184
0,042;1,1096;0,9554;7,7679;3,2126;27,6605;3,6698;0,97;4,4703;17,739;7,8888;3,2721;0,0372;11,2953;0,1974;0,0772;0,1587;5,3979;22,3223;7,2438;2,5331;5,4803;1,7617;0,974;1,7348;4,9211;13,5455;0,3503;2,2819;0,0657;16,2585;6,5773;6,2332;3,5865;2,5174;0,4178;0,3259;0,0497;1,321;1,4358;0,19;0,4226;1,2893;4,471;2,5293;7,3744;10,886;10,1533;0,5421;1,6012;10,6599;2,115;2,5542;2,1793;1,5212;3,0263;6,7891;7,4715;1,7411;1,6214;8,1611;0,2758;6,8909;10,9981;0,0489;7,8223;0,8277;10,9399;0,9108;6,1962;1,1669;4,8599;8,9081;1,0873;0,3431;0,1749;0,1862;0,1575;4,9311;8,1214;2,0595;0,725;2,2955;11,7183;0,7333;0,1707;4,1041;0,1681;5,6566;2,4651;2,0414;0,4732;0,9389;1,3246;0,2346;0,8662;10,6451;4,5853;3,0524;7,6429;8,6498;7,6078;3,844;2,9551;9,2025;8,2159;0,25;0,9896;0,1605;0,3437;4,0156;7,9196;24,3631;2,1615;0,1648;4,0094;0,1434;8,5449;2,4644;2,3797;0,1652;0,3914;7,052;0,509;1,0657;1,9684;0,1956;3,2273;3,4759;18,3983;3,1584;1,1428;2,508;0,1062;1,5461;4,0508;3,6869;1,8576;2,1036;4,5064;NA;6,2181;0,1934;2,8152;1,9967;3,5454;0,0709;0,4961;1,8719;0,072;5,1165;19,7262;1,1134;0,0579;0,727;0,701;10,2105;8,8975;0,1292;8,668;7,46;10,5368;9,5045;4,6455;0,6598;1,7023;1,1073;0,9388;10,3199;0,4886;7,9922;0,4415;2,6468;6,0884;0,8496;0,942;11,8296;47,285;3,782;10,3503;0,0662;0,7495;11,4005;0,2071;0,4178;9,5485;0,5486;0,0447;0,947;0,0596;5,3061;0,74;0,0718;0,7404;4,3569;0,3526;4,57;7,5352;7,5187;6,4643;0,6677;3,8552;2,7589;0,0614;2,1703;6,7125;0,3513;2,623;0,4104;8,3735;2,356;NA;2,8137;1,0786;0,7495;0,7404;7,4601;2,0086;3,049;1,0373;0,0752;0,0554;6,1547;3,3153;2,0677;20,1011;4,7915;1,6667;5,2347;0,5941;0,4802;3,7478;0,8232;0,7076;6,0048;0,1829;1,3502
0,0389;0,9882;1,0262;7,8672;3,2717;25,8691;3,568;1,1236;4,3968;17,8387;7,9298;3,4403;0,0412;11,4396;0,2029;0,0791;0,1676;5,3145;22,3209;6,8612;3,3402;5,3048;1,8718;0,9555;1,7835;4,6853;14,1349;0,3576;2,3335;0,0638;16,7576;6,5379;6,0841;3,2843;2,6504;0,3863;0,3452;0,0443;1,3127;1,4877;0,1863;0,4801;1,244;4,3648;2,5527;7,5192;12,0107;10,0993;0,4986;1,9021;9,8509;2,186;2,6012;2,277;1,5501;3,1507;6,9685;7,5542;1,7463;1,6671;8,1925;0,2675;7,2301;10,6801;0,0531;7,8315;0,8674;10,6449;0,973;6,1246;1,1655;4,7764;9,0146;1,1699;0,2919;0,1787;0,167;0,1219;3,241;8,7416;1,9547;0,8128;2,1869;11,9218;0,7496;0,1677;4,0373;0,1758;5,3501;2,5302;2,0898;0,4804;0,9595;1,311;0,2339;0,8851;11,1769;5,0153;3,558;7,9302;9,0634;7,6622;3,8512;3,2178;9,3234;8,0726;0,2697;0,9534;0,1617;0,3377;4,1794;8,6209;25,7584;2,213;0,1657;3,6268;0,1485;8,6754;2,4451;2,4232;0,1654;0,3983;6,6614;0,5821;1,1021;2,0214;0,1951;3,3336;3,0033;19,6195;2,9271;1,1515;2,2943;0,1017;1,6283;4,149;3,8742;1,8442;2,1623;4,323;0,1255;5,4603;0,2073;2,8941;2,5126;3,672;0,0805;0,4712;2,0474;0,0632;5,4199;20,1084;1,0664;0,0576;0,7914;0,7359;10,1786;7,6353;0,1311;8,673;7,6341;10,7303;10,7113;4,5497;0,6372;1,759;1,0741;0,9249;10,6458;0,5138;7,7308;0,4735;2,8693;5,9923;0,687;0,9628;12,0498;44,3697;3,9665;10,6677;0,0666;0,763;11,5866;0,2164;0,4184;10,4571;0,5582;0,072;0,9449;0,0562;5,8526;0,7411;0,0752;0,7414;4,2674;0,3479;3,0898;7,0648;7,3105;6,0053;0,6696;3,5745;2,7226;0,0351;2,2667;6,8502;0,2536;2,6082;0,3507;8,4283;2,4;NA;2,8927;0,9746;0,763;0,7414;7,6565;2,0923;3,3753;1,0376;0,0856;0,0541;6,0472;3,2342;1,6585;20,4698;5,0226;1,4058;5,384;0,6482;0,4686;3,8158;0,8152;0,7762;6,0808;0,183;1,1576
0,0371;0,9421;1,0555;7,6674;3,3766;28,1397;3,342;1,149;4,5923;17,9323;8,4441;3,2548;0,0309;11,5043;0,2413;0,0792;0,1958;5,7672;22,4442;6,7349;3,2801;5,2253;2,1362;0,9204;1,7921;4,9364;13,8225;0,3813;2,1965;0,065;16,3316;6,6979;6,2449;3,1197;2,7748;0,3763;0,333;0,0335;1,388;1,4795;0,2008;0,5151;1,3372;4,5995;2,4661;7,2448;12,0118;10,2936;0,4964;2,2009;10,1236;2,1894;2,5208;2,378;1,5587;3,2412;6,9333;7,6113;1,8878;1,6058;8,3069;0,2843;7,2163;11,0798;0,0638;7,954;0,883;11,7752;1,2362;6,1389;1,1637;4,7681;9,223;0,8768;0,3075;0,1859;0,2095;0,1193;4,727;8,8942;2,1309;0,8263;2,1584;11,9147;0,8482;0,1716;4,4655;0,188;5,5244;2,5774;2,1229;0,4839;0,9557;1,3913;0,2404;0,8837;11,5926;5,1942;3,8367;7,5798;8,9998;7,6626;3,8394;3,1472;9,2048;7,904;0,2393;0,8028;0,1743;0,3314;4,5666;9,7145;26,7062;2,1837;0,1812;3,8481;0,1509;8,4251;2,6153;2,399;0,1726;0,4021;6,2919;0,5737;1,1111;2,0546;0,2001;3,4276;3,2125;20,6557;3,1491;1,2537;2,4056;0,0999;1,6706;4,2664;3,8114;2,0216;2,1998;4,3835;0,139;6,3354;0,1815;2,9801;2,7495;3,6278;0,0774;0,5069;2,1483;0,0591;5,499;19,7972;1,3251;0,0557;0,8081;0,7568;10,4149;7,6921;0,1386;7,7198;8,1484;10,6662;11,8038;4,6162;0,6271;2,032;0,9824;0,8851;11,0954;0,5949;7,677;0,4901;3,0736;5,9232;0,6927;1,0803;12,0342;42,2049;4,3028;10,7358;0,0681;0,7634;11,5046;0,2319;0,4488;10,1571;0,5677;0,0906;0,9803;0,0562;5,9973;0,787;0,0829;0,7873;4,3746;0,3419;3,1186;7,1725;7,7207;5,9016;0,5858;3,9408;2,674;0,0398;2,3678;6,8399;0,2293;2,7205;0,3355;8,44;2,377;NA;2,9789;0,872;0,7634;0,7873;8,6809;2,1581;3,0392;1,0394;0,0884;0,0525;6,1762;3,3605;1,4996;20,1715;5,0352;1,7599;5,4582;0,7106;0,4568;3,8298;0,8624;0,8068;6,7868;0,1805;1,167
0,049;0,8957;1,2324;7,4807;3,4157;27,2866;3,1007;1,0048;5,0521;18,126;8,5833;3,2036;0,0316;10,728;0,2933;0,076;0,2045;5,5632;23,0114;7,1856;3,468;5,2546;2,0314;0,9325;1,7607;5,1416;13,2964;0,3877;2,245;0,0636;16,7203;6,6023;5,981;3,1299;2,9757;0,3868;0,3224;0,0313;1,303;1,4033;0,1968;0,5917;1,339;4,7363;2,3653;7,3;11,6241;10,103;0,5069;1,7579;10,015;2,374;2,6056;2,5251;1,5784;3,3869;7,0231;7,6113;1,8492;1,7391;8,2811;0,2669;7,5486;10,8384;0,0643;7,9165;0,8436;12,1986;1,0354;6,002;1,3399;4,4421;8,9403;0,744;0,3579;0,19;0,1971;0,1167;6,1396;8,8607;2,2175;0,8619;2,1307;11,7578;0,8675;0,175;4,7139;0,2113;5,4732;2,647;2,1701;0,4731;0,9169;1,3885;0,2443;0,8972;11,1726;5,3104;3,4721;7,7907;9,2968;7,7721;3,8852;3,1978;9,4676;8,8203;0,2264;0,9959;0,1759;0,4329;4,9715;9,9542;27,152;2,1524;0,198;3,7871;0,147;8,4343;2,6576;2,376;0,1747;0,3871;6,5295;0,5975;1,1256;2,1028;0,2053;3,5607;3,2587;22,0093;3,1816;1,2788;2,4662;0,0651;2,1212;4,3387;3,8249;2,202;2,2561;4,1432;0,1171;5,859;0,1786;2,9904;2,9025;3,8483;0,084;0,5493;2,1667;0,0577;5,649;19,1802;1,1279;0,0562;0,7118;0,772;10,3679;7,5736;0,1101;7,7287;7,9878;10,5003;12,4685;4,7825;0,6268;1,7334;1,0145;0,8805;11,0826;0,6126;7,5155;0,4529;3,1638;6,2958;0,715;1,0039;11,8619;45,5702;4,3138;10,7727;0,0669;0,7738;12,034;0,2796;0,4499;9,8876;0,5768;0,0973;0,9881;0,0606;6,4803;0,7709;0,1002;0,7713;4,5185;0,4004;2,2596;7,0803;7,7813;6,0527;0,59;4,1805;2,5792;0,0453;2,5188;6,9075;0,2537;2,8688;0,3256;8,8126;2,3552;0,1869;2,9894;0,9634;0,7738;0,7713;9,4208;2,1507;3,1537;1,0407;0,0982;0,0583;6,3055;3,4367;1,3701;19,4455;5,1397;2,0273;5,5564;0,8246;0,3958;3,8308;0,9109;0,8395;6,9515;0,1827;1,0422
0,0539;0,9247;1,339;7,1712;3,4437;27,2247;3,3351;1,1349;5,2514;17,8786;9,1683;3,4697;0,0233;11,1313;0,3186;0,0798;0,2097;6,1644;23,0515;7,0312;3,5542;5,3793;1,9318;1,0025;1,7019;5,1589;15,5912;0,4097;2,1458;0,0571;17,2083;6,9015;6,1098;3,1654;3,4274;0,2931;0,3186;0,0319;0,8285;1,3666;0,2456;0,6457;1,3847;5,1915;2,2886;7,8273;12,0434;10,1387;0,5084;2,0455;10,9877;2,0998;2,7511;2,8577;1,6155;3,6927;7,3112;7,8356;1,854;1,7399;8,4117;0,26;7,5534;12,3585;0,0686;8,0988;0,8321;13,756;1,2233;6,0509;1,2501;4,6721;9,1041;0,7996;0,3347;0,1938;0,1915;0,1444;6,3443;9,1709;2,2991;0,849;2,13;11,8948;0,9345;0,1777;5,0216;0,2054;5,7446;2,8313;2,3081;0,472;0,901;1,4967;0,2511;0,9055;11,0321;5,4936;3,0027;7,7024;9,407;8,0645;3,9947;3,2079;9,5128;9,8021;0,1934;1,1084;0,1861;0,4242;4,9536;9,7178;27,6564;2,169;0,2021;3,8648;0,1556;8,8261;2,7599;2,3839;0,1857;0,3926;6,7647;0,6455;1,135;2,2413;0,2057;3,8864;3,2882;22,6734;3,3174;1,2558;2,6764;0,0875;1,7832;4,4143;3,9509;2,0186;2,4094;4,5096;0,1134;6,5482;0,2236;3,0254;3,0869;3,6997;0,099;0,5133;2,2664;0,062;5,8405;19,2831;1,1851;0,0589;0,7587;0,8566;10,4997;8,1426;0,1176;6,7672;8,2936;10,6079;13,0367;5,0565;0,6332;1,7381;0,9832;0,8877;11,0664;0,6698;7,793;0,4419;3,012;5,7865;0,736;1,0901;12,0086;46,4113;4,5489;11,1304;0,0642;0,7813;12,3032;0,2813;0,4303;9,2738;0,5854;0,1028;1,0802;0,0594;6,9714;0,794;0,1073;0,7944;4,8192;0,4552;2,4415;7,1333;7,7215;6,1619;0,595;4,1072;2,52;0,0489;2,8552;7,1932;0,3376;2,9629;0,3267;9,7395;2,3647;0,1834;3,0246;1,1493;0,7813;0,7944;11,4144;2,1091;3,2775;1,0343;0,1007;0,0596;6,9067;3,5596;1,3564;19,5065;4,7681;2,0335;5,2661;0,8702;0,4342;3,9574;0,907;0,8184;7,3401;0,1919;0,843
0,0437;0,9296;1,4041;7,2791;3,5518;27,5484;3,6562;1,2265;5,0671;18,3522;9,2756;3,4082;0,0211;10,9412;0,3357;0,0788;0,22;6,1255;21,513;6,5581;3,7583;5,7594;1,6169;1,0297;1,7785;5,0651;14,1485;0,4462;2,1355;0,0559;16,7943;6,9127;6,1275;3,4318;3,9541;0,295;0,3046;0,0376;0,9432;1,3472;0,2581;0,6782;1,3967;5,2527;2,2592;7,6373;12,1054;9,9504;0,4888;2,3332;9,9417;1,9108;2,7527;3,2421;1,674;4,0565;7,3005;7,8196;1,9343;1,7511;8,4065;0,2461;7,8179;12,4913;0,0708;8,0807;0,8318;12,9453;1,6961;6,0238;1,4311;4,2975;9,0532;0,8581;0,3049;0,1975;0,1985;0,1485;7,5028;9,1135;2,1001;0,8477;2,1961;11,9473;1,0239;0,1822;4,9017;0,1864;5,5753;3,0333;2,4617;0,4818;0,9182;1,5103;0,2573;0,9555;10,9796;5,7357;3,1627;7,9432;9,276;8,1893;3,9677;3,3584;9,4696;10,5262;0,2138;1,0892;0,1828;0,5196;5,1524;9,7239;28,7488;2,2356;0,2098;3,9084;0,1793;8,5203;2,7399;2,4584;0,191;0,3951;6,7055;0,6638;1,1643;2,3964;0,2166;4,2478;3,5267;25,4532;3,367;1,3648;2,6864;0,0904;2,4823;4,5693;3,9838;2,3882;2,5813;4,3492;0,1161;6,4795;0,2144;3,1539;3,326;3,7668;0,097;0,5566;2,2686;0,062;6,2475;19,3245;1,2272;0,0591;0,7219;0,841;10,5713;8,1317;0,1081;6,7731;8,0343;10,6344;12,6617;5,1251;0,6953;1,7297;1,12;0,8881;11,5537;0,7866;7,9055;0,4478;3,0587;5,9263;0,733;1,314;12,0305;47,6513;4,4449;11,1127;0,0637;0,8265;12,674;0,3063;0,5038;9,5088;0,6571;0,0958;1,1068;0,0573;7,5504;0,8148;0,1298;0,8152;4,897;0,4439;2,7224;6,9672;7,8617;5,9587;0,5911;4,6075;2,5636;0,0468;3,2439;7,1884;0,3198;3,2183;0,3823;10,2432;2,4412;0,2114;3,1533;1,2377;0,8265;0,8152;11,828;2,1842;3,3134;1,0213;0,1324;0,06;6,4727;3,8708;1,6477;19,5976;4,8267;2,2201;5,3232;1,0333;0,3295;4,0852;1,0102;0,9263;7,8258;0,1886;0,8034
0,0635;0,8128;1,3382;7,2658;3,7076;27,204;3,7366;1,4636;5,1334;18,3423;9,2661;3,5797;0,0203;10,5558;0,3559;0,0764;0,2321;6,2659;22,9399;6,0666;3,9641;5,8755;1,6763;1,0717;1,7757;5,2695;13,6072;0,4824;2,2612;0,0523;17,0275;6,9182;6,165;3,4602;4,4677;0,31;0,2906;0,0354;0,9935;1,3652;0,2531;0,8928;1,4528;5,4465;2,3404;7,6177;11,7508;9,7294;0,5175;2,3298;9,263;2,0393;2,858;3,6019;1,7168;4,3844;7,3337;7,7886;2,0494;1,864;8,3374;0,2119;8,0292;12,718;0,0652;8,0077;0,8526;10,5717;1,4744;6,0242;1,4358;4,1554;8,9555;1,0865;0,3129;0,2002;0,1988;0,1522;9,6215;9,2789;2,2675;0,8905;1,9481;11,9067;0,9214;0,1859;4,9766;0,1866;5,5437;3,2151;2,5975;0,4856;0,896;1,4954;0,2747;0,9843;11,2142;6,0476;2,9663;7,7173;8,8036;8,1738;3,9449;3,4991;9,492;11,1712;0,2321;1,0266;0,2008;0,7131;4,7084;10,1058;31,274;2,2737;0,2153;3,7217;0,2051;9,0768;2,6604;2,5092;0,196;0,4235;6,6468;0,7153;1,1984;2,5339;0,2175;4,5901;3,8615;25,6042;3,4438;1,432;2,8314;0,091;2,3451;4,7711;4,0988;2,5765;2,7321;4,5315;0,1252;6,5126;0,2246;3,3306;3,2559;4,3216;0,0846;0,5013;2,4099;0,0596;6,4582;19,2317;1,2889;0,0549;0,7027;0,7956;10,2899;7,8624;0,1214;6,7843;8,2803;10,5887;12,3291;5,3386;0,6978;2,1537;1,1117;0,8888;13,1108;0,7586;7,8959;0,4403;3,1033;6,2333;0,6756;1,2656;11,9658;45,4101;4,4424;11,2318;0,0609;0,8504;12,923;0,3554;0,5167;8,6503;0,7047;0,0792;1,1329;0,0554;6,8125;0,7998;0,1188;0,8002;5,0896;0,4948;3,2738;7,1694;7,9581;5,5606;0,6157;4,5862;3,0791;0,048;3,6069;7,2175;0,3064;3,3085;0,3565;10,3545;2,491;0,2166;3,3302;1,2307;0,8504;0,8002;12,8481;2,2111;3,4204;1,0089;0,1435;0,0723;6,2713;4,2202;1,6337;19,4693;4,555;2,2313;5,5263;1,111;0,3216;4,1838;1,1133;0,9468;7,7044;0,198;0,8597
0,0692;0,8213;1,34;6,8561;3,8083;24,8135;3,9238;1,4836;5,4391;18,3605;8,9616;3,5936;0,0235;10,3006;0,413;0,0866;0,2517;6,4399;23,1621;5,9547;4,4134;6,1552;1,7664;1,1768;1,7775;5,4359;20,1712;0,4753;2,1206;0,0536;16,5953;7,1033;6,077;3,4987;4,9103;0,2939;0,2867;0,0391;1,1735;1,3488;0,2812;1,0022;1,4983;5,9744;2,3782;7,5798;11,7786;9,8864;0,5077;2,473;10,691;2,1941;2,9852;3,9095;1,7811;4,6593;7,6198;7,9029;2,1508;2,0515;8,2492;0,1805;7,6982;11,8651;0,0678;8,002;0,8236;12,7263;1,5627;5,8394;1,4422;3,6206;8,9086;1,2112;0,3684;0,2036;0,2104;0,1556;10,3488;9,1376;2,3426;0,8718;1,7538;11,7678;1,029;0,1967;5,0126;0,1856;5,5067;3,3997;2,7351;0,4933;0,8984;1,5724;0,2852;1,0365;11,0586;6,4231;2,87;7,67;9,12;8,0258;4,4838;3,3199;9,3037;12,1047;0,2519;1,0195;0,2196;0,6994;4,9068;9,9825;30,6464;2,3201;0,2758;3,4387;0,1997;8,8593;2,8834;2,5558;0,2033;0,4302;6,5923;0,6296;1,2207;2,6708;0,2175;4,9101;3,9818;24,797;3,6964;1,4595;2,7699;0,0848;2,7672;4,9324;4,1942;2,5826;2,8849;4,5191;0,1387;6,5382;0,2073;3,4285;3,5446;4,8116;0,0897;0,5615;2,6742;0,0595;6,5675;18,7171;1,2736;0,0522;0,615;0,8228;10,0146;7,9817;0,0988;4,8572;8,1896;10,4567;15,3047;5,6048;0,744;2,2235;1,0866;0,7903;12,7427;0,7126;8,2349;0,4214;3,2194;5,7449;0,7137;1,273;11,7939;43,1206;4,6835;11,5684;0,0593;0,8952;13,2152;0,4253;0,4945;8,4451;0,6891;0,1016;1,1998;0,0538;7,1523;0,7791;0,1245;0,7795;5,3947;0,4827;2,9309;7,0481;8,1171;5,3852;0,6031;4,6099;3,0985;0,0492;3,9179;7,5045;0,2673;3,3155;0,3812;10,4804;2,5372;0,2011;3,4284;1,4126;0,8952;0,7795;14,5688;2,2798;3,7511;0,997;0,1492;0,0834;6,4972;4,5399;1,9053;18,9459;4,8082;2,2436;5,4435;1,1301;0,314;4,2657;1,0561;0,9901;7,6738;0,1821;0,7972
0,0683;0,8116;1,3939;6,9082;3,8611;22,4482;4,0829;1,7308;5,6087;18,5211;8,5878;3,2198;0,0227;9,8431;0,4625;0,0955;0,2636;6,9712;22,1041;5,9273;4,7132;6,0297;1,7835;1,2439;1,848;5,4523;18,8516;0,4695;2,1963;0,0549;17,3806;7,1955;5,766;3,9144;5,3064;0,2856;0,3359;0,0391;1,2535;1,3665;0,1783;0,9114;1,7117;6,0409;2,4561;7,7383;12,0033;9,5276;0,5432;2,6172;9,7795;2,1942;3,0235;4,1884;1,8576;4,9412;7,7519;7,8746;2,1499;2,1177;8,0952;0,1743;7,8423;14,9029;0,0727;7,883;0,7806;12,3092;1,4147;5,6673;1,2693;3,1876;8,651;1,4585;0,3847;0,2074;0,2323;0,1586;9,0007;9,4411;2,5062;0,9208;2,1282;11,8196;1,0777;0,204;5,3083;0,2176;5,3551;3,5713;2,8605;0,4957;0,8816;1,6178;0,2975;1,1236;10,5389;6,7931;2,6744;7,6388;9,2756;7,8608;4,4498;3,2579;9,5708;12,8124;0,2463;1,2281;0,2669;0,5882;5,3175;10,0716;28,1637;2,3792;0,2864;3,1271;0,1762;8,1005;2,8654;2,6089;0,2111;0,4067;5,6899;0,6849;1,2644;2,7966;0,2218;5,1772;4,0881;23,1462;3,8767;1,484;2,832;0,0863;2,6759;5,0389;4,2208;2,5908;3,0292;4,7466;0,147;6,6876;0,2145;3,4964;3,4098;4,9968;0,1048;0,631;2,7428;0,0615;7,0108;18,8819;1,3025;0,055;0,547;0,8382;10,0447;8,0163;0,1007;3,896;7,8768;10,5103;16,2183;5,8469;0,804;2,1797;1,1822;0,8175;12,3929;0,7297;8,2208;0,3951;3,2572;5,5772;0,6655;1,1994;11,8506;40,4499;4,632;11,6113;0,0609;0,9692;13,4325;0,4476;0,5362;8,3446;0,6738;0,0842;1,2624;0,0558;6,9714;0,7759;0,139;0,7763;5,5817;0,471;2,6707;6,9196;8,0669;5,153;0,6089;4,7041;3,072;0,0466;4,2076;7,6189;0,248;3,3608;0,4549;11,6381;2,5891;0,1962;3,4964;1,2191;0,9692;0,7763;14,8029;2,3392;4,1007;0,9853;0,1417;0,0969;6,7113;4,8411;1,7575;19,0429;4,5623;2,4363;5,1731;1,2404;0,4817;4,3719;1,05;0,9979;7,9418;0,1597;0,7839
